,0
0,MMM
1,AOS
2,ABT
3,ABBV
4,ACN
5,ADM
6,ADBE
7,ADP
8,AES
9,AFL
10,A
11,ABNB
12,APD
13,AKAM
14,ALK
15,ALB
16,ARE
17,ALGN
18,ALLE
19,LNT
20,ALL
21,GOOGL
22,GOOG
23,MO
24,AMZN
25,AMCR
26,AMD
27,AEE
28,AAL
29,AEP
30,AXP
31,AIG
32,AMT
33,AWK
34,AMP
35,AME
36,AMGN
37,APH
38,ADI
39,ANSS
40,AON
41,APA
42,AAPL
43,AMAT
44,APTV
45,ACGL
46,ANET
47,AJG
48,AIZ
49,T
50,ATO
51,ADSK
52,AZO
53,AVB
54,AVY
55,AXON
56,BKR
57,BALL
58,BAC
59,BBWI
60,BAX
61,BDX
62,WRB
63,BRK.B
64,BBY
65,BIO
66,TECH
67,BIIB
68,BLK
69,BX
70,BK
71,BA
72,BKNG
73,BWA
74,BXP
75,BSX
76,BMY
77,AVGO
78,BR
79,BRO
80,BF.B
81,BG
82,CHRW
83,CDNS
84,CZR
85,CPT
86,CPB
87,COF
88,CAH
89,KMX
90,CCL
91,CARR
92,CTLT
93,CAT
94,CBOE
95,CBRE
96,CDW
97,CE
98,COR
99,CNC
100,CNP
101,CDAY
102,CF
103,CRL
104,SCHW
105,CHTR
106,CVX
107,CMG
108,CB
109,CHD
110,CI
111,CINF
112,CTAS
113,CSCO
114,C
115,CFG
116,CLX
117,CME
118,CMS
119,KO
120,CTSH
121,CL
122,CMCSA
123,CMA
124,CAG
125,COP
126,ED
127,STZ
128,CEG
129,COO
130,CPRT
131,GLW
132,CTVA
133,CSGP
134,COST
135,CTRA
136,CCI
137,CSX
138,CMI
139,CVS
140,DHI
141,DHR
142,DRI
143,DVA
144,DE
145,DAL
146,XRAY
147,DVN
148,DXCM
149,FANG
150,DLR
151,DFS
152,DIS
153,DG
154,DLTR
155,D
156,DPZ
157,DOV
158,DOW
159,DTE
160,DUK
161,DD
162,EMN
163,ETN
164,EBAY
165,ECL
166,EIX
167,EW
168,EA
169,ELV
170,LLY
171,EMR
172,ENPH
173,ETR
174,EOG
175,EPAM
176,EQT
177,EFX
178,EQIX
179,EQR
180,ESS
181,EL
182,ETSY
183,EG
184,EVRG
185,ES
186,EXC
187,EXPE
188,EXPD
189,EXR
190,XOM
191,FFIV
192,FDS
193,FICO
194,FAST
195,FRT
196,FDX
197,FITB
198,FSLR
199,FE
200,FIS
201,FI
202,FLT
203,FMC
204,F
205,FTNT
206,FTV
207,FOXA
208,FOX
209,BEN
210,FCX
211,GRMN
212,IT
213,GEHC
214,GEN
215,GNRC
216,GD
217,GE
218,GIS
219,GM
220,GPC
221,GILD
222,GL
223,GPN
224,GS
225,HAL
226,HIG
227,HAS
228,HCA
229,PEAK
230,HSIC
231,HSY
232,HES
233,HPE
234,HLT
235,HOLX
236,HD
237,HON
238,HRL
239,HST
240,HWM
241,HPQ
242,HUBB
243,HUM
244,HBAN
245,HII
246,IBM
247,IEX
248,IDXX
249,ITW
250,ILMN
251,INCY
252,IR
253,PODD
254,INTC
255,ICE
256,IFF
257,IP
258,IPG
259,INTU
260,ISRG
261,IVZ
262,INVH
263,IQV
264,IRM
265,JBHT
266,JKHY
267,J
268,JNJ
269,JCI
270,JPM
271,JNPR
272,K
273,KVUE
274,KDP
275,KEY
276,KEYS
277,KMB
278,KIM
279,KMI
280,KLAC
281,KHC
282,KR
283,LHX
284,LH
285,LRCX
286,LW
287,LVS
288,LDOS
289,LEN
290,LIN
291,LYV
292,LKQ
293,LMT
294,L
295,LOW
296,LULU
297,LYB
298,MTB
299,MRO
300,MPC
301,MKTX
302,MAR
303,MMC
304,MLM
305,MAS
306,MA
307,MTCH
308,MKC
309,MCD
310,MCK
311,MDT
312,MRK
313,META
314,MET
315,MTD
316,MGM
317,MCHP
318,MU
319,MSFT
320,MAA
321,MRNA
322,MHK
323,MOH
324,TAP
325,MDLZ
326,MPWR
327,MNST
328,MCO
329,MS
330,MOS
331,MSI
332,MSCI
333,NDAQ
334,NTAP
335,NFLX
336,NEM
337,NWSA
338,NWS
339,NEE
340,NKE
341,NI
342,NDSN
343,NSC
344,NTRS
345,NOC
346,NCLH
347,NRG
348,NUE
349,NVDA
350,NVR
351,NXPI
352,ORLY
353,OXY
354,ODFL
355,OMC
356,ON
357,OKE
358,ORCL
359,OTIS
360,PCAR
361,PKG
362,PANW
363,PARA
364,PH
365,PAYX
366,PAYC
367,PYPL
368,PNR
369,PEP
370,PFE
371,PCG
372,PM
373,PSX
374,PNW
375,PXD
376,PNC
377,POOL
378,PPG
379,PPL
380,PFG
381,PG
382,PGR
383,PLD
384,PRU
385,PEG
386,PTC
387,PSA
388,PHM
389,QRVO
390,PWR
391,QCOM
392,DGX
393,RL
394,RJF
395,RTX
396,O
397,REG
398,REGN
399,RF
400,RSG
401,RMD
402,RVTY
403,RHI
404,ROK
405,ROL
406,ROP
407,ROST
408,RCL
409,SPGI
410,CRM
411,SBAC
412,SLB
413,STX
414,SEE
415,SRE
416,NOW
417,SHW
418,SPG
419,SWKS
420,SJM
421,SNA
422,SEDG
423,SO
424,LUV
425,SWK
426,SBUX
427,STT
428,STLD
429,STE
430,SYK
431,SYF
432,SNPS
433,SYY
434,TMUS
435,TROW
436,TTWO
437,TPR
438,TRGP
439,TGT
440,TEL
441,TDY
442,TFX
443,TER
444,TSLA
445,TXN
446,TXT
447,TMO
448,TJX
449,TSCO
450,TT
451,TDG
452,TRV
453,TRMB
454,TFC
455,TYL
456,TSN
457,USB
458,UDR
459,ULTA
460,UNP
461,UAL
462,UPS
463,URI
464,UNH
465,UHS
466,VLO
467,VTR
468,VLTO
469,VRSN
470,VRSK
471,VZ
472,VRTX
473,VFC
474,VTRS
475,VICI
476,V
477,VMC
478,WAB
479,WBA
480,WMT
481,WBD
482,WM
483,WAT
484,WEC
485,WFC
486,WELL
487,WST
488,WDC
489,WRK
490,WY
491,WHR
492,WMB
493,WTW
494,GWW
495,WYNN
496,XEL
497,XYL
498,YUM
499,ZBRA
500,ZBH
501,ZION
502,ZTS
